Nr.	BLZ	BIC	Institut	Ort	RZ	Organisation	HBCI-Zugang DNS	HBCI- Zugang     IP-Adresse	HBCI-Version	DDV	RDH-1	RDH-2	RDH-3	RDH-4	RDH-5	RDH-6	RDH-7	RDH-8	RDH-9	RDH-10	RAH-7	RAH-9	RAH-10	PIN/TAN-Zugang URL	Version	Datum letzte Änderung
677	28050100	SLZODE22XXX	Landessparkasse zu Oldenburg	Oldenburg	Finanz Informatik GmbH & Co. KG	DSGV	banking-ni1.s-fints-pt-ni.de	nicht unterstützt	3.0	ja											ja			https://banking-ni1.s-fints-pt-ni.de/fints30	FinTS V3.0	7/9/16
678	28060228	GENODEF1OL2	Raiffeisenbank Oldenburg eG	Oldenburg	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
679	28061410	GENODEF1BRN	Raiffeisenbank Berne-Moorriem eG	Berne-Moorriem	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
680	28061501	GENODEF1CLP	Volksbank Cloppenburg eG	Cloppenburg 	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
681	28061679	GENODEF1DAM	Volksbank Damme-Osterfeine eG	Damme-Osterfeine	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
682	28061822	GENODEF1EDE	Volksbank Ammerland-Süd eG	Ammerland	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
683	28062165	GENODEF1RSE	Raiffeisenbank Rastede eG	Rastede	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
684	28062249	GENODEF1HUD	Vereinigte Volksbank eG	Ganderkesee-Hude	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/30/17
685	28062560	GENODEF1LON	Lohner Bank eG	Lohne	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
686	28062913	GENODEF1BSL	Volksbank Bösel eG	Bösel	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
687	28063253	GENODEF1WRE	Volksbank Westerstede eG	Westerstede	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
688	28063526	GENODEF1ESO	Volksbank Essen-Cappeln eG	Cappeln	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
689	28063607	GENODEF1BAM	Volksbank Bakum eG	Bakum	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
690	28064179	GENODEF1VEC	Volksbank Vechta eG	Vechta	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
691	28065061	GENODEF1LOG	Volksbank Löningen eG	Löningen	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
692	28065108	GENODEF1DIK	Spar- und Darlehnskasse Dinklage eG	Dinklage	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
693	28065286	GENODEF1SAN	Raiffeisenbank Scharrel eG	Scharrel	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
694	28066103	GENODEF1VIS	Volksbank Visbek eG	Visbek	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
695	28066214	GENODEF1WDH	Volksbank Wildeshauser Geest eG	Wildeshausen	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
696	28066620	GENODEF1FOY	Spar- und Darlehnskasse Friesoythe eG	Friesoythe	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
697	28067068	GENODEF1NEO	Volksbank Neuenkirchen-Vörden eG	Neuenkirchen-Vörden	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
698	28067170	GENODEF1GSC	Raiffeisen-Volksbank Delmenhorst-Schierbrok eG	Delmenhorst-Schierbrok	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
699	28067257	GENODEF1LAP	Volksbank Lastrup eG	Lastrup	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
700	28068218	GENODEF1BUT	Raiffeisenbank Butjadingen-Abbehausen eG	Butjadingen-Abbehausen	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
701	28069052	GENODEF1ORF	Raiffeisenbank Strücklingen-Idafehn eG	Strücklingen-Idafehn	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
702	28069092	GENODEF1HAT	VR Bank Oldenburg Land West eG	Hatten, Wardenburg, Ahlhorn, Großenkneten, Kirchhatten-Sandkrug	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	3/24/17
703	28069109	GENODEF1EMK	Volksbank Emstek eG	Emstek	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
704	28069128	GENODEF1GRR	Raiffeisenbank Garrel eG	Garrel	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
705	28069381	GENODEF1WLT	Hümmlinger Volksbank eG	Hümmling	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
706	28069706	GENODEF1BOG	Volksbank Nordhümmling eG	Nordhümmling	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
707	28069773	GENODEF1WWM	Raiffeisenbank Wiesede-Marcardsmoor eG	Wiesede-Marcardsmoor	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
708	28069878	GENODEF1KBL	Raiffeisenbank Emsland-Mitte eG	Emsland	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
709	28069926	GENODEF1HOO	Volksbank Hoogstede-Wilsum eG	Hoogstede-Wilsum	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
710	28069930	GENODEF1LAG	Volksbank Langen-Gersten eG	Langen-Gersten	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
711	28069935	GENODEF1LRU	Raiffeisenbank Lorup eG	Lorup	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
712	28069956	GENODEF1NEV	Grafschafter Volksbank eG	Nordhorn	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
713	28069956	GENODEF1NEV	Volksbank Veldhausen-Neuenhaus eG	Veldhausen-Neuenhaus	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
714	28069991	GENODEF1LTH	Volksbank Emstal Rütenbrock-Lathen eG	Emstal Rütenbrock-Lathen	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
715	28069994	GENODEF1SPL	VB Spelle-Freren eG	Freren	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
716	28069994	GENODEF1SPL	Volksbank Spelle-Freren eG	Spelle-Freren	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
717	28070024	DEUTDEDB280	Deutsche Bank Privat und Geschäftskunden	Oldenburg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
718	28070024	DEUTDEDB280	Deutsche Bank Privat und Geschäftskunden	Bad Zwischenahn	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
719	28070057	DEUTDEHB280	Deutsche Bank	Oldenburg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
